Names;PP;PE;PS;T;Cat;Oil [-];Gas [-];Residue [-];Time [min];TempReactor [°C];Energy [kWh];Yield Naphtha;Yield Diesel;Yield heavy;Yield styrene;Downstream hydrogen;Downstream electricity;Downstream heat [kWh]
DATI_37;0;0;1;430;0;0,888;0,03;0,082;87,59166667;383,191269;3,88379278;0,05;0,1;0,05;0,8;0,01078197;0,03717209;1,10890549
DATI_62_2;0;0,5;0,5;470;0;0,858;0,099;0,043;196,5833333;421,1033186;7,25101194;0,1;0,3;0,2;0,4;0,03125315;0,10774884;1,1911634
DATI_59;0;0;1;470;0;0,880641926;0,083249749;0,036108325;53,55;399,2215933;3,51333306;0,05;0,1;0,05;0,8;0,01069263;0,03686408;1,09971696
DATI_23;0;1;0;470;0,02;0,275490196;0,405882353;0,318627451;66,93333333;429,2679147;4,493165;0,2;0,4;0,4;0;0,01672482;0,05766074;0,09610123
DATI_56;0;1;0;470;0;0,767;0,159;0,074;156,3333333;432,2882998;6,86579389;0,2;0,4;0,4;0;0,04656403;0,16053488;0,26755814
DATI_62;0;0,5;0,5;470;0;0,829170829;0,044955045;0,125874126;156,275;422,0687245;6,44836306;0,1;0,3;0,2;0,4;0,03020303;0,10412843;1,15113979
DATI_04;0;0;1;430;0,02;0,881372549;0,051960784;0,066666667;87,96666667;383,396015;3,77117583;0,05;0,1;0,05;0,8;0,0107015;0,03689466;1,10062934
DATI_26;0;0;1;470;0,02;0,937254902;0,009803922;0,052941176;61,84166667;389,6400237;3,29869514;0,05;0,1;0,05;0,8;0,01138002;0,03923393;1,17041341
DATI_07;0;0,5;0,5;430;0,02;0,434313725;0,088235294;0,47745098;105,8833333;395,57635;3,94347778;0,1;0,3;0,2;0,4;0,01582013;0,05454172;0,60295876
DATI_34;0;1;0;430;0;0,25;0,172;0,578;238,6666667;406,7398347;7,36547208;0,2;0,4;0,4;0;0,01517733;0,05232558;0,0872093
DATI_07_2;0;0,5;0,5;430;0,02;0,49;0,01;0,5;91,38333333;395,8896763;3,6628075;0,1;0,3;0,2;0,4;0,01784853;0,06153488;0,68026814
DATI_01;0;1;0;430;0,02;0,05;0,114705882;0,835294118;188,3666667;340,7895282;4,31098583;0,2;0,4;0,4;0;0,00303547;0,01046512;0,01744186
DATI_07_3;0;0,5;0,5;430;0,02;0,475490196;0,160784314;0,36372549;164,075;399,9126644;4,95911306;0,1;0,3;0,2;0,4;0,01732001;0,05971272;0,66012415
DATI_29;0;0,5;0,5;470;0,02;0,820939335;0,054794521;0,124266145;161,3;424,32773;6,06242306;0,1;0,3;0,2;0,4;0,02990319;0,10309471;1,13971199
DATI_01_2;0;1;0;430;0,02;0,133464181;0,054955839;0,81157998;72,50833333;415,0889451;4,36357917;0,2;0,4;0,4;0;0,00810252;0,02793436;0,04655727
DATI_40;0;0,5;0,5;430;0;0,555;0,08;0,365;257,5583333;398,4915009;6,89780861;0,1;0,3;0,2;0,4;0,0202162;0,06969767;0,77050779
DATI_58;1;0;0;470;0;0,869;0,105;0,026;70,25833333;418,8443335;4,12087806;0,2;0,4;0,4;0;0,05275638;0,18188372;0,30313953
DATI_61;0,5;0,5;0;470;0;0,749;0,163;0,088;89,64166667;424,7867097;4,62162639;0,1;0,3;0,2;0,4;0,02728276;0,09406047;1,03983844
DATI_42;0,5;0;0,5;430;0;0,87;0,068;0,062;163,625;386,8330566;5,37200139;0,2;0,4;0,4;0;0,05281709;0,18209302;0,30348837
DATI_64;0,5;0;0,5;470;0;0,926;0,053;0,021;73,19166667;409,2295697;3,75552306;0,2;0,4;0,4;0;0,05621681;0,19381395;0,32302326
DATI_61_2;0,5;0,5;0;470;0;0,778;0,159;0,063;120,65;426,2852669;5,19009694;0,1;0,3;0,2;0,4;0,0283391;0,09770233;1,08009921
DATI_39;0,5;0,5;0;430;0;0,393;0,155;0,452;227,75;395,4868772;7,027075;0,1;0,3;0,2;0,4;0,01431525;0,04935349;0,54560281
DATI_64_2;0,5;0;0,5;470;0;0,926;0,064;0,01;97,69166667;407,0365421;4,56108528;0,2;0,4;0,4;0;0,05621681;0,19381395;0,32302326
DATI_42_2;0,5;0;0,5;430;0;0,812;0,115;0,073;171,4666667;381,2644374;5,34883847;0,2;0,4;0,4;0;0,04929595;0,16995349;0,28325581
DATI_64_3;0,5;0;0,5;470;0;0,883466135;0,045816733;0,070717131;83,16666667;412,3373432;4,17662111;0,2;0,4;0,4;0;0,05363461;0,18491152;0,30818586
DATI_61_3;0,5;0,5;0;470;0;0,704;0,154;0,142;112,3333333;422,9558517;4,93135014;0,1;0,3;0,2;0,4;0,02564361;0,0884093;0,97736484
DATI_28;0,5;0,5;0;470;0,02;0,714705882;0,174509804;0,110784314;94,25;426,2737954;4,60939806;0,1;0,3;0,2;0,4;0,02603358;0,08975376;0,99222784
DATI_31;0,5;0;0,5;470;0,02;0,903921569;0,051960784;0,044117647;89,38333333;409,2575054;4,23842083;0,2;0,4;0,4;0;0,05487645;0,18919289;0,31532148
DATI_42_3;0,5;0;0,5;430;0;0,681372549;0,066666667;0,251960784;98,41666667;374,3107967;4,10963361;0,2;0,4;0,4;0;0,04136565;0,14261286;0,2376881
DATI_25;1;0;0;470;0,02;0,899019608;0,073529412;0,02745098;82,95833333;414,8069067;4,1453475;0,2;0,4;0,4;0;0,05457885;0,18816689;0,31361149
DATI_9;0,5;0;0,5;430;0,02;0,897058824;0,094117647;0,008823529;272,75;368,3308155;7,21474222;0,2;0,4;0,4;0;0,05445982;0,1877565;0,3129275
DATI_36;1;0;0;430;0;0,735;0,101;0,164;161,7916667;389,1842051;5,777715;0,2;0,4;0,4;0;0,04462134;0,15383721;0,25639535
DATI_3;1;0;0;430;0,02;0,841176471;0,097058824;0,061764706;164,3416667;393,3323035;5,68575972;0,2;0,4;0,4;0;0,05106724;0,17606019;0,29343365
DATI_6;0,5;0,5;0;430;0,02;0,501960784;0,102941176;0,395098039;227,725;395,7165882;7,35715694;0,2;0,4;0,4;0;0,03047369;0,10506156;0,1751026
