Names;Brennwert;Asche;Feuchte;T_set;catalyst;X_oil;X_gas;X_residue;t_pyrolysis;T_pyrolysis_mean;m_oil_perminute
LP2410029-EW2410-A-450;29;12;14,53;450;0;0,381874096;0,136667873;0,481458032;270;403;0,14143485
LP2410027-EW2410-A-430;29;12;14,53;430;0;0,335476277;0,11752988;0,546993843;270;390;0,124250473
LP2410028-EW2410-A-Kat-430;29;12;14,53;430;4,02;0,316109147;0,107968453;0,575922401;270;389;0,117077462
LP2502057-EW2501-A-400;29;12;14,53;400;0;0,185387132;0,114685569;0,699927299;270;353;0,068661901
LP2502058-EW2501-A-Kat-400;29;12;14,53;400;4,04;0,220660258;0,062670053;0,71666969;270;350;0,081726021
LP2503063-EW2501-A-350;29;12;14,53;350;0;0,14584465;0,08183958;0,77231577;270;333;0,054016537
LP2504064-EW2501-A-Kat-350;29;12;14,53;350;4,03;0,156470588;0,051131222;0,79239819;270;332;0,05795207
LP2504065-EW2503-A-400;28,8;13;11,71;400;0;0,179689627;0,132770669;0,687539704;270;377;0,066551714
LP2504066-EW2503-A-Kat-400;28,8;13;11,71;400;4,02;0,178561906;0,092258466;0,729179628;270;381;0,066134039
LP2506067-EW2503-A-350;28,8;13;11,71;350;0;0,137486378;0,084725754;0,777787868;270;338;0,050920881
LP2506068-EW2503-A-Kat-350;28,8;13;11,71;350;4,03;0,116038164;0,057973648;0,825988187;270;348;0,042977098
LP2507076-KEBS2406-A-400;22,3;18;13,83;400;0;0,25626867;0,066352856;0,677378474;270;348;0,094914322
LP2507077-KEBS2406-A-Kat-400;22,3;18;13,83;400;4,01;0,261312421;0,07220119;0,666486389;270;348;0,096782378
